feature,importance
dst_ip_bytes,0.267617020021343
dst_pkts,0.18307052566664872
dst_port,0.1684461396528341
src_ip_bytes,0.10362298000354786
duration,0.08201839746112487
src_pkts,0.06657745135449018
src_port,0.042755781018440235
dst_bytes,0.03558303823370701
src_bytes,0.01953718429650565
dns_qtype,0.013928159483307143
dns_qclass,0.007918984052419064
dns_rcode,0.006795275110824857
missed_bytes,0.0021290636448073413
http_trans_depth,0.0
http_version,0.0
http_request_body_len,0.0
http_response_body_len,0.0
